datetime,power,ec_wind_speed_70m
2021-05-04 05:00:00,96.6847,12.349147
2021-05-04 05:15:00,95.1342,12.360839
2021-05-04 05:30:00,93.5115,12.345805
2021-05-04 05:45:00,91.7915,12.147349
2021-05-04 06:00:00,90.0045,12.489607
2021-05-04 06:15:00,88.1532,12.776174
2021-05-04 06:30:00,86.3465,13.139469
2021-05-04 06:45:00,84.6104,13.300238
2021-05-04 07:00:00,82.9439,13.184917
2021-05-04 07:15:00,81.3716,12.824804
2021-05-04 07:30:00,79.8661,12.27667
2021-05-04 07:45:00,78.4765,11.824459
2021-05-04 08:00:00,77.225,10.790751
2021-05-04 08:15:00,76.0837,10.138403
2021-05-04 08:30:00,75.0258,10.234501
2021-05-04 08:45:00,74.0494,10.581888
2021-05-04 09:00:00,73.1771,10.855276
2021-05-04 09:15:00,72.359,10.820526
2021-05-04 09:30:00,71.5703,10.747721
2021-05-04 09:45:00,70.8105,10.712895
2021-05-04 10:00:00,69.9852,10.484373
2021-05-04 10:15:00,69.1426,10.208507
2021-05-04 10:30:00,68.0523,10.015931
2021-05-04 10:45:00,66.7219,9.722901
2021-05-04 11:00:00,65.0938,9.500917
2021-05-04 11:15:00,63.1398,9.366029
2021-05-04 11:30:00,60.8387,9.256022
2021-05-04 11:45:00,58.2204,9.041674
2021-05-04 12:00:00,55.2999,8.745818
2021-05-04 12:15:00,52.0813,8.405279
2021-05-04 12:30:00,48.9103,7.9343877
2021-05-04 12:45:00,45.7812,7.3259587
2021-05-04 13:00:00,42.7409,6.774204
2021-05-04 13:15:00,39.7653,6.2842326
2021-05-04 13:30:00,36.8665,5.8435225
2021-05-04 13:45:00,34.0548,5.139132
2021-05-04 14:00:00,31.3394,4.290328
2021-05-04 14:15:00,28.74,3.5343719
2021-05-04 14:30:00,26.271,2.9089282
2021-05-04 14:45:00,23.9109,2.5183303
2021-05-04 15:00:00,21.7008,2.2206254
2021-05-04 15:15:00,19.624,2.0586581
2021-05-04 15:30:00,17.8157,2.162431
2021-05-04 15:45:00,16.2398,2.445201
2021-05-04 16:00:00,14.9028,2.8444397
2021-05-04 16:15:00,13.7808,3.0625908
2021-05-04 16:30:00,12.781,3.771467
2021-05-04 16:45:00,11.9037,4.9324236
2021-05-04 17:00:00,11.1428,4.91162
2021-05-04 17:15:00,10.4756,4.2804637
2021-05-04 17:30:00,9.9465,3.642156
2021-05-04 17:45:00,9.5336,2.9417462
2021-05-04 18:00:00,9.2243,2.4515357
2021-05-04 18:15:00,9.0026,2.150728
2021-05-04 18:30:00,8.8599,2.7310488
2021-05-04 18:45:00,8.7944,4.7214437
2021-05-04 19:00:00,8.789,5.5569067
2021-05-04 19:15:00,8.8326,5.4672656
2021-05-04 19:30:00,8.8818,5.0989556
2021-05-04 19:45:00,8.9256,4.8657365
2021-05-04 20:00:00,8.9586,4.6855245
2021-05-04 20:15:00,8.9641,4.1581106
2021-05-04 20:30:00,8.9421,3.6325777
2021-05-04 20:45:00,8.8927,3.4557955
