datetime,actual_power,predicted_power,fused_corrected_wind,error,abs_error,corrected_gfs_70m,original_gfs_70m,corrected_ec_70m,original_ec_70m
2022-10-26 01:15:00,81.69,75.78952397669825,8.118630000528185,-5.900476023301749,5.900476023301749,8.576634334984458,13.123268,7.660625666071912,12.097611
2022-10-26 01:30:00,81.2,75.78952397669825,8.108252096768636,-5.410476023301754,5.410476023301754,8.576634334984458,12.971795,7.639869858552813,12.113817
2022-10-26 01:45:00,86.09,72.39748883051692,8.07059307971107,-13.692511169483083,13.692511169483083,8.576634334984458,12.705364,7.564551824437682,12.217763
2022-10-26 02:00:00,75.61,72.39748883051692,8.07059307971107,-3.2125111694830792,3.2125111694830792,8.576634334984458,12.5384445,7.564551824437682,12.237098
2022-10-26 02:15:00,67.7,72.39748883051692,7.992305913396317,4.697488830516917,4.697488830516917,8.420060002354951,12.505811,7.564551824437682,12.277537
2022-10-26 02:30:00,64.02,72.39748883051692,7.992305913396317,8.377488830516924,8.377488830516924,8.420060002354951,12.514979,7.564551824437682,12.186544
2022-10-26 02:45:00,64.02,72.39748883051692,7.992305913396317,8.377488830516924,8.377488830516924,8.420060002354951,12.495446,7.564551824437682,11.935327
2022-10-26 03:00:00,53.91,72.39748883051692,7.992305913396317,18.487488830516924,18.487488830516924,8.420060002354951,12.413173,7.564551824437682,11.659909
2022-10-26 03:15:00,41.48,67.8638283600399,7.8793114659552295,26.383828360039907,26.383828360039907,8.252220744726236,12.3695545,7.506402187184223,11.437077
2022-10-26 03:30:00,43.56,65.75855954076029,7.8793114659552295,22.198559540760286,22.198559540760286,8.252220744726236,12.400489,7.506402187184223,11.315267
2022-10-26 03:45:00,42.98,65.75855954076029,7.8793114659552295,22.77855954076029,22.77855954076029,8.252220744726236,12.419952,7.506402187184223,11.211317
2022-10-26 04:00:00,39.62,65.75855954076029,7.841093307593175,26.13855954076029,26.13855954076029,8.252220744726236,12.337103,7.429965870460114,11.304939
2022-10-26 04:15:00,31.25,65.75855954076029,7.812082343039266,34.50855954076029,34.50855954076029,8.117762498894308,12.214597,7.506402187184223,11.714565
