datetime,power,gfs_wind_speed_10m
2021-05-03 08:45:00,47.3445,2.850298
2021-05-03 09:00:00,45.7803,2.647617
2021-05-03 09:15:00,44.3487,2.304737
2021-05-03 09:30:00,43.1931,2.1368542
2021-05-03 09:45:00,42.281,2.1138084
2021-05-03 10:00:00,41.62,2.1015954
2021-05-03 10:15:00,41.1655,2.1318238
2021-05-03 10:30:00,40.8947,2.121991
2021-05-03 10:45:00,40.7867,2.263016
2021-05-03 11:00:00,40.8766,2.53938
2021-05-03 11:15:00,41.1837,2.6769135
2021-05-03 11:30:00,41.7113,2.7050831
2021-05-03 11:45:00,42.4475,2.8031392
2021-05-03 12:00:00,43.3811,2.9482691
2021-05-03 12:15:00,44.5211,3.1292577
2021-05-03 12:30:00,45.8978,3.2328784
2021-05-03 12:45:00,47.5251,3.3527453
2021-05-03 13:00:00,49.4186,3.4437957
2021-05-03 13:15:00,51.5746,3.6237042
2021-05-03 13:30:00,53.6609,3.9163637
2021-05-03 13:45:00,55.6445,4.161611
2021-05-03 14:00:00,57.5139,4.2327337
2021-05-03 14:15:00,59.3053,4.324941
2021-05-03 14:30:00,60.9408,4.708045
2021-05-03 14:45:00,62.4351,4.8920193
2021-05-03 15:00:00,63.7565,4.737364
2021-05-03 15:15:00,64.898,4.366522
2021-05-03 15:30:00,65.9767,4.286405
2021-05-03 15:45:00,67.0154,4.7883396
2021-05-03 16:00:00,68.0127,5.3674726
2021-05-03 16:15:00,68.9673,5.502139
2021-05-03 16:30:00,69.599,5.4022894
2021-05-03 16:45:00,69.8779,5.1114745
2021-05-03 17:00:00,69.8018,4.726674
2021-05-03 17:15:00,69.2702,4.351287
2021-05-03 17:30:00,68.3887,4.141882
2021-05-03 17:45:00,67.0651,4.1268682
2021-05-03 18:00:00,65.3136,4.234888
2021-05-03 18:15:00,63.1058,4.293498
2021-05-03 18:30:00,60.9173,4.2106147
2021-05-03 18:45:00,58.7736,4.0516376
2021-05-03 19:00:00,56.6984,4.151235
2021-05-03 19:15:00,54.7352,4.495071
2021-05-03 19:30:00,52.8156,4.5754075
2021-05-03 19:45:00,50.9824,4.980162
2021-05-03 20:00:00,49.3155,4.95207
2021-05-03 20:15:00,47.9482,4.838213
2021-05-03 20:30:00,47.1445,4.7890296
2021-05-03 20:45:00,47.0248,5.0656366
2021-05-03 21:00:00,47.686,5.771096
2021-05-03 21:15:00,49.192,5.82033
2021-05-03 21:30:00,51.1511,5.650225
2021-05-03 21:45:00,53.7045,5.4899955
2021-05-03 22:00:00,56.9016,5.382758
2021-05-03 22:15:00,60.8467,5.3270288
2021-05-03 22:30:00,65.0445,5.2898483
2021-05-03 22:45:00,69.5484,5.2809563
2021-05-03 23:00:00,74.259,5.379385
2021-05-03 23:15:00,79.1419,5.611765
2021-05-03 23:30:00,84.268,5.9344554
2021-05-03 23:45:00,89.4879,5.8580074
2021-05-04 00:00:00,108.9771,5.7665434
2021-05-04 00:15:00,111.1962,6.0444937
2021-05-04 00:30:00,112.7568,6.2777443
2021-05-04 00:45:00,113.7119,6.3715663
2021-05-04 01:00:00,114.1173,6.5546474
2021-05-04 01:15:00,114.0304,6.7866926
2021-05-04 01:30:00,113.7987,6.896041
2021-05-04 01:45:00,113.4223,6.9214244
2021-05-04 02:00:00,112.9304,7.0146794
2021-05-04 02:15:00,112.323,7.100256
2021-05-04 02:30:00,111.4561,7.360359
2021-05-04 02:45:00,110.4172,7.566888
2021-05-04 03:00:00,109.1497,7.200128
2021-05-04 03:15:00,107.7128,7.239018
2021-05-04 03:30:00,106.223,7.2923317
2021-05-04 03:45:00,104.6812,7.230408
2021-05-04 04:00:00,103.0887,7.243587
