height,hour,obs_mean,obs_std,obs_median,obs_q25,obs_q75,obs_count,ec_mean,ec_std,ec_median,ec_q25,ec_q75,ec_count,gfs_mean,gfs_std,gfs_median,gfs_q25,gfs_q75,gfs_count
70m,13,6.999834862385321,3.3116469160011555,6.68,4.48,9.13,2180,6.90163250775688,3.600472133412387,6.5344169,3.97386485,9.28666875,2180,7.124530459655964,3.691796211890128,6.76777915,4.2444523,9.4744905,2180
70m,14,7.1224701834862385,3.3483960886834137,6.83,4.48,9.24,2180,6.88141257159633,3.667115930625159,6.51379865,3.861466825,9.1739285,2180,7.1281734864128445,3.6887345676322845,6.6863955,4.290533375,9.53082075,2180
70m,15,7.19652752293578,3.4502078482493546,6.83,4.48,9.44,2180,6.96972415725,3.666377253771311,6.6691758,3.963375575,9.373812000000001,2180,7.148169848422018,3.683421426457711,6.7497921000000005,4.401022449999999,9.569211249999999,2180
70m,16,7.323305045871559,3.4435661020701973,6.83,4.7250000000000005,9.5625,2180,7.083852648376147,3.7531795672872397,6.7424852,3.9885669,9.482692499999999,2180,7.193562345055046,3.703928226953729,6.780696300000001,4.3987414000000005,9.555566,2180
70m,17,7.379928899082568,3.5595409742933075,6.88,4.63,9.7,2180,7.1542267555458725,3.7464862805889543,6.8139065,4.162339875,9.577539,2180,7.242679468022936,3.758092813706692,6.8748052,4.37802765,9.507191500000001,2180
70m,18,7.372655963302752,3.5628043083622316,6.88,4.6674999999999995,9.55,2180,7.362788192931193,3.816510340926027,7.1831765,4.5205477499999995,9.7189845,2180,7.3369654978444965,3.836367987603053,7.05818685,4.498958525000001,9.704384000000001,2180
70m,19,7.233831422018348,3.385791297751675,6.73,4.68,9.3525,2180,7.544728389651376,3.896568245193126,7.410842499999999,4.5570989,10.285357000000001,2180,7.534000242591743,3.8891749234846045,7.22503735,4.66207485,10.091365249999999,2180
70m,20,6.940106651376146,3.307967683942106,6.58,4.53,9.03,2180,7.577120358146788,3.7998563978106827,7.5963442,4.406386725,10.34368175,2180,7.695959408486237,3.7790679956570226,7.4754646000000005,4.940535000000001,10.03749825,2180
70m,21,6.74955504587156,3.125848167519287,6.52,4.42,8.78,2180,7.811373829481651,3.7272417464836987,7.8846675,4.861119625,10.34380175,2180,7.861672343931192,3.676928834449186,7.88490865,5.30781485,10.196541750000002,2180
70m,22,6.772247706422019,2.950302524623638,6.58,4.63,8.68,2180,7.831362176889908,3.696468742104841,7.81503315,4.914413725,10.46258275,2180,7.977484991931192,3.659431935108495,8.019635000000001,5.37485915,10.232202749999999,2180
70m,23,6.833467889908256,2.9321027781413713,6.68,4.73,8.622499999999999,2180,8.063018460995414,3.586089626222182,8.0635245,5.216510875,10.752536500000001,2180,7.954245512940368,3.6265001919950377,7.9190881,5.248924775,10.242984,2180
