datetime,actual_power,predicted_power,error,abs_error,relative_error,feature_wind_speed,feature_wind_speed_2,feature_wind_speed_3,feature_hour,feature_month,feature_is_daytime,feature_wind_lag_1h,feature_wind_lag_24h,original_ec_wind_speed_10m,original_ec_wind_speed_70m,original_gfs_wind_speed_10m,original_gfs_wind_speed_70m,fused_wind
2022-09-17 09:00:00,4.614,44.114434271918434,39.50043427191844,39.50043427191844,856.0995705745228,7.1973429325,51.801745288007695,372.83492533980734,9,9,1,7.1107298868,7.726608853500001,6.3234854,7.1698546,7.2367167,8.818271,7.1973429325
2022-09-17 09:15:00,1.7,44.82132499002394,43.121324990023936,43.121324990023936,2536.548513904064,7.2088040706,51.966856128299135,374.61888399396736,9,9,1,7.1973429325,7.685461674000001,6.4608703,7.2144995,7.2004604,8.382159,7.2088040706
2022-09-17 09:30:00,0.9612,45.597361689202174,44.636161689202176,44.636161689202176,4643.795383356495,7.2955688506000005,53.22532485384501,388.3090220667777,9,9,1,7.2088040706,7.64201405,6.6492047,7.3970876,7.1687646,8.201265,7.2955688506000005
2022-09-17 09:45:00,1.2595,50.992278983505855,49.73277898350585,49.73277898350585,3948.612829586707,7.621461762000001,58.08667938962816,442.7054058496046,9,9,1,7.2955688506000005,7.517795841000002,7.136828,8.091744,7.153284,8.094611,7.621461762000001
2022-09-17 10:00:00,3.8681,56.81403608910999,52.94593608910999,52.94593608910999,1368.7840529518778,7.919496108400001,62.71841861096276,496.6982721145217,10,9,1,7.621461762000001,7.3669496180000005,7.5109477,8.409736,7.3200984,8.371306,7.919496108400001
2022-09-17 10:15:00,3.4078,58.43717252503724,55.02937252503724,55.02937252503724,1614.8063960196196,8.0297661225,64.47714398204869,517.7363864226093,10,9,1,7.919496108400001,7.197405760200001,7.566795,8.446989,7.5209537,8.5393305,8.0297661225
2022-09-17 10:30:00,5.0616,59.30238683222119,54.24078683222119,54.24078683222119,1071.6134567144745,8.1369448573,66.2098716107409,538.7460743055115,10,9,1,8.0297661225,7.082159514000001,7.6714544,8.550781,7.6286883,8.632766,8.1369448573
2022-09-17 10:45:00,7.9799,62.03796106441956,54.05806106441956,54.05806106441956,677.4277998054711,8.402459768600002,70.6013301629416,593.2248363037626,10,9,1,8.1369448573,7.030446186999999,7.8963223,8.891583,7.861113,8.94719,8.402459768600002
2022-09-17 11:00:00,16.4209,66.78807761722439,50.367177617224385,50.367177617224385,306.7260478204713,8.6867214,75.45912868121796,655.4924279404897,11,9,1,8.402459768600002,6.9691789316,8.160841,9.164691,8.150898,9.241372,8.6867214
2022-09-17 11:15:00,24.4342,68.2404249718754,43.806224971875395,43.806224971875395,179.28241953469788,8.729154782,76.19814320811346,665.1453861646245,11,9,1,8.6867214,6.8902003910000005,8.166896,9.165519,8.24035,9.359679,8.729154782
2022-09-17 11:30:00,29.0291,68.2404249718754,39.2113249718754,39.2113249718754,135.075923670964,8.705773425000002,75.79049092743627,659.8148417837784,11,9,1,8.729154782,6.7876530975,8.252264,9.271943,8.057155,9.131677,8.705773425000002
2022-09-17 11:45:00,30.6467,68.2404249718754,37.5937249718754,37.5937249718754,122.66810116459061,8.72465797,76.11965669348453,664.1179694444737,11,9,1,8.705773425000002,6.737136341,8.334291,9.386853,7.96699,9.032489,8.72465797
2022-09-17 12:00:00,30.6836,68.2404249718754,37.5568249718754,37.5568249718754,122.40032121275004,8.712936883,75.91526912714174,661.4449483607444,12,9,1,8.72465797,6.7665430837,8.314318,9.365561,7.975837,9.012305,8.712936883
2022-09-17 12:15:00,30.5962,68.2404249718754,37.6442249718754,37.6442249718754,123.03562193858009,8.726810028,76.15721326480134,664.609532423803,12,9,1,8.712936883,6.797080140000001,8.369014,9.42778,7.9244576,8.960822,8.726810028
2022-09-17 12:30:00,30.7163,68.2404249718754,37.524124971875395,37.524124971875395,122.16355797950611,8.734811328,76.29692893575711,666.4392791596622,12,9,1,8.726810028,6.7435287485,8.419265,9.460641,7.8786044,8.91086,8.734811328
2022-09-17 12:45:00,33.0869,68.2404249718754,35.1535249718754,35.1535249718754,106.24605194578758,8.736115897,76.3197209658161,666.7379275840702,12,9,1,8.734811328,6.684442725000001,8.32686,9.364256,8.012395,9.08128,8.736115897
2022-09-17 13:00:00,29.4297,71.59895137728944,42.16925137728944,42.16925137728944,143.2880775643674,8.681523817999999,75.36885580250127,654.3165167848223,13,9,1,8.736115897,6.634956374100001,8.118892,9.154306,8.190916,9.257469,8.681523817999999
2022-09-17 13:15:00,27.2687,69.8958644084906,42.6271644084906,42.6271644084906,156.32268642384247,8.583864813000002,73.68273512785956,632.4826373896328,13,9,1,8.681523817999999,6.626786880400001,8.010477,9.056014,8.113197,9.169147,8.583864813000002
2022-09-17 13:30:00,25.6064,66.13667575713369,40.53027575713369,40.53027575713369,158.2818191596847,8.4054777465,70.65205614690673,593.8642856872931,13,9,1,8.583864813000002,6.590270490500002,7.996373,8.999748,7.7296443,8.75699,8.4054777465
2022-09-17 13:45:00,25.6064,64.68432840248266,39.07792840248266,39.07792840248266,152.6100052612693,8.336320336800002,69.4942367577453,579.3262191739864,13,9,1,8.4054777465,6.729543189500001,7.9401574,8.932897,7.655332,8.664293,8.336320336800002
2022-09-17 14:00:00,22.416,64.68432840248266,42.268328402482666,42.268328402482666,188.56320656507114,8.315654980800002,69.15011775970387,575.0285211713882,14,9,1,8.336320336800002,6.936925077600001,7.8147674,8.775422,7.80314,8.830066,8.315654980800002
2022-09-17 14:15:00,18.1003,60.5008602545766,42.400560254576604,42.400560254576604,234.25335619382696,8.1331289781,66.14778697440995,537.9884830787594,14,9,1,8.315654980800002,7.1126171224000005,7.5005603,8.42593,7.8482995,8.863734,8.1331289781
