datetime,actual_power,predicted_power,error,abs_error,relative_error,feature_wind_speed,feature_wind_speed_2,feature_wind_speed_3,feature_hour,feature_month,feature_is_daytime,feature_wind_lag_1h,feature_wind_lag_24h,original_ec_wind_speed_70m
2022-10-01 18:45:00,101.66,79.70573004701677,-21.954269952983225,21.954269952983225,-21.59578000277754,10.17876384,103.60723331049155,1054.5935599832749,18,10,0,10.4482783,11.05593975,10.17876384
2022-10-01 19:00:00,96.59,94.55797264228865,-2.032027357711357,2.032027357711357,-2.103765770267088,11.543387970000001,133.24980582594074,1538.1542055760005,19,10,0,10.17876384,10.75695854,11.543387970000001
2022-10-01 19:15:00,94.85,100.43080344807504,5.580803448075045,5.580803448075045,5.883820187123525,11.539772169999999,133.16634173550648,1536.7092443401073,19,10,0,11.543387970000001,10.51304253,11.539772169999999
2022-10-01 19:30:00,93.93,83.91487340852566,-10.015126591474342,10.015126591474342,-10.662330022791556,11.358898340000001,129.02457149845478,1465.5769910130095,19,10,0,11.539772169999999,10.421360790000001,11.358898340000001
2022-10-01 19:45:00,93.93,79.01929175933944,-14.910708240660568,14.910708240660568,-15.874276843471884,11.22342704,125.96531452220317,1413.7625171106,19,10,0,11.358898340000001,9.978279850000002,11.22342704
2022-10-01 20:00:00,121.39,76.53888301700918,-44.85111698299082,44.85111698299082,-36.947950390720834,11.021915880000002,121.48262966579621,1338.9713250575985,20,10,0,11.22342704,10.00863035,11.021915880000002
2022-10-01 20:15:00,120.98,76.53888301700918,-44.44111698299082,44.44111698299082,-36.73426763044916,10.776922200000001,116.14205210485287,1251.6538596823457,20,10,0,11.021915880000002,9.97390554,10.776922200000001
2022-10-01 20:30:00,110.44,75.56163386040902,-34.87836613959098,34.87836613959098,-31.581280456748328,10.65392844,113.50619120464083,1209.2868385912006,20,10,0,10.776922200000001,10.010167065000001,10.65392844
2022-10-01 20:45:00,115.79,75.56163386040902,-40.22836613959099,40.22836613959099,-34.74252192427389,10.85719599,117.87870476527206,1279.8322006839057,20,10,0,10.65392844,9.8875061,10.85719599
2022-10-01 21:00:00,99.97,70.17293561826796,-29.797064381732042,29.797064381732042,-29.80600618060563,10.66520105,113.7465134369211,1213.12943454129,21,10,0,10.85719599,9.61163773,10.66520105
2022-10-01 21:15:00,92.07,67.36460019757983,-24.70539980242016,24.70539980242016,-26.83327880931556,10.25959919,105.25937553944864,1079.919004024433,21,10,0,10.66520105,9.52461916,10.25959919
2022-10-01 21:30:00,92.07,67.36460019757983,-24.70539980242016,24.70539980242016,-26.83327880931556,10.657580600000001,113.58402424549638,1210.530893268732,21,10,0,10.25959919,9.56587564,10.657580600000001
2022-10-01 21:45:00,89.24,70.08595061232897,-19.154049387671023,19.154049387671023,-21.46352463640147,11.17001319,124.76919466477399,1393.6735501112032,21,10,0,10.657580600000001,9.5515902,11.17001319
2022-10-01 22:00:00,88.89,87.19916357700275,-1.6908364229972506,1.6908364229972506,-1.902167198567931,11.534939825,133.05483676637104,1534.7795355252877,22,10,0,11.17001319,9.46615733,11.534939825
2022-10-01 22:15:00,88.61,98.64448958395458,10.034489583954581,10.034489583954581,11.324330868775702,12.070883700000001,145.70623329892572,1758.8029965163998,22,10,0,11.534939825,10.0351681,12.070883700000001
2022-10-01 22:30:00,86.12,106.6287783720627,20.508778372062693,20.508778372062693,23.814187609941097,12.5217679,156.79467134147043,1963.3464824946743,22,10,0,12.070883700000001,10.52193356,12.5217679
