datetime,power,gfs_wind_speed_10m,gfs_wind_speed_70m
2021-05-03 07:15:00,57.7645,3.645039,6.3094316
2021-05-03 07:30:00,55.9571,3.550442,5.2618456
2021-05-03 07:45:00,54.1416,3.671728,4.6152515
2021-05-03 08:00:00,52.3426,3.771721,4.103966
2021-05-03 08:15:00,50.667,3.255241,3.2704387
2021-05-03 08:30:00,48.9866,2.9682412,2.866482
2021-05-03 08:45:00,47.3445,2.850298,2.751826
2021-05-03 09:00:00,45.7803,2.647617,2.5292122
2021-05-03 09:15:00,44.3487,2.304737,2.1633208
2021-05-03 09:30:00,43.1931,2.1368542,1.9766661
2021-05-03 09:45:00,42.281,2.1138084,1.9265177
2021-05-03 10:00:00,41.62,2.1015954,1.9010794
2021-05-03 10:15:00,41.1655,2.1318238,1.9272622
2021-05-03 10:30:00,40.8947,2.121991,1.9265684
2021-05-03 10:45:00,40.7867,2.263016,2.0769107
2021-05-03 11:00:00,40.8766,2.53938,2.397529
2021-05-03 11:15:00,41.1837,2.6769135,2.5980072
2021-05-03 11:30:00,41.7113,2.7050831,2.7046216
2021-05-03 11:45:00,42.4475,2.8031392,2.876633
2021-05-03 12:00:00,43.3811,2.9482691,3.0775898
2021-05-03 12:15:00,44.5211,3.1292577,3.307907
2021-05-03 12:30:00,45.8978,3.2328784,3.4389026
2021-05-03 12:45:00,47.5251,3.3527453,3.5816913
2021-05-03 13:00:00,49.4186,3.4437957,3.7054937
2021-05-03 13:15:00,51.5746,3.6237042,3.932881
2021-05-03 13:30:00,53.6609,3.9163637,4.275721
2021-05-03 13:45:00,55.6445,4.161611,4.53666
2021-05-03 14:00:00,57.5139,4.2327337,4.618947
2021-05-03 14:15:00,59.3053,4.324941,4.7396445
2021-05-03 14:30:00,60.9408,4.708045,5.1599336
2021-05-03 14:45:00,62.4351,4.8920193,5.3526382
2021-05-03 15:00:00,63.7565,4.737364,5.1802783
2021-05-03 15:15:00,64.898,4.366522,4.789314
