datetime,actual_power,predicted_power,wind,wind_2,wind_3,hour,month,is_daytime,wind_lag_1h,wind_lag_24h,fused_corrected_wind_speed,corrected_wind_gfs_70m,original_gfs_wind_speed_70m,corrected_wind_ec_70m,original_ec_wind_speed_70m,error,abs_error
2022-08-31 23:30:00,4.175,36.88774570330028,6.168292652051534,38.047834241352945,234.69017637741212,23,8,0,6.203668480336095,5.703481041719364,6.168292652051534,6.173603558589386,5.4205728,6.162981745513681,8.877499,32.712745703300286,32.712745703300286
2022-08-31 23:45:00,2.2058,37.60326250997469,6.359841352501901,40.44758202899321,257.2402047967037,23,8,0,6.168292652051534,5.737574044037085,6.359841352501901,6.173603558589386,5.563334,6.546079146414415,8.556342,35.39746250997469,35.39746250997469
2022-09-01 00:00:00,2.2058,33.501610737705526,5.933130295489508,35.20203510325541,208.85826093400982,0,9,0,6.359841352501901,5.682496770355909,5.933130295489508,5.831864158156194,4.2192583,6.034396432822821,4.643819,31.295810737705526,31.295810737705526
2022-09-01 00:15:00,0.7687,30.75835840710204,5.816541673373294,33.8321570380882,196.7861513121496,0,9,0,5.933130295489508,5.761582798841502,5.816541673373294,5.68377024415094,4.280244,5.949313102595647,5.1958733,29.98965840710204,29.98965840710204
2022-09-01 00:30:00,0.0,30.75835840710204,5.858703087188186,34.32440186382838,201.09647916549923,0,9,0,5.816541673373294,5.834346474213249,5.858703087188186,5.810779918487338,4.363397,5.906626255889034,5.9593883,30.75835840710204,30.75835840710204
2022-09-01 00:45:00,0.0,30.75835840710204,5.836963733742248,34.07014562902225,198.86620443991984,0,9,0,5.858703087188186,6.439343862756689,5.836963733742248,5.953025430795678,4.455317,5.72090203668882,6.668549,30.75835840710204,30.75835840710204
2022-09-01 01:00:00,0.0,30.75835840710204,5.873955460769188,34.50335275510016,202.67115733066618,1,9,0,5.836963733742248,6.403968034472127,5.873955460769188,6.027008884849556,4.616598,5.72090203668882,6.5907636,30.75835840710204,30.75835840710204
2022-09-01 01:15:00,0.0,30.75835840710204,5.885005179786104,34.63328596610927,203.81706730356643,1,9,0,5.873955460769188,5.986777032201276,5.885005179786104,6.082224847289752,4.774871,5.6877855122824545,5.99491,30.75835840710204,30.75835840710204
2022-09-01 01:30:00,0.0,30.75835840710204,5.876994027446828,34.539058798645684,202.9858422732755,1,9,0,5.885005179786104,6.047015441483754,5.876994027446828,6.082224847289752,4.923843,5.671763207603903,5.2100754,30.75835840710204,30.75835840710204
2022-09-01 01:45:00,0.0,32.86989415238412,6.017806682285803,36.213997265363666,217.92883473578527,1,9,0,5.876994027446828,6.0192214405465405,6.017806682285803,6.082224847289752,5.0432663,5.953388517281853,4.002661,32.86989415238412,32.86989415238412
2022-09-01 02:00:00,0.0,32.86989415238412,5.968112069800539,35.61836167769888,212.57437423519565,2,9,0,6.017806682285803,5.975441474203901,5.968112069800539,6.082224847289752,5.2333527,5.853999292311326,2.939652,32.86989415238412,32.86989415238412
2022-09-01 02:15:00,0.0,30.75835840710204,5.833929459666861,34.034732940368876,198.55623115271214,2,9,0,5.968112069800539,5.992985777405659,5.833929459666861,5.938454494418124,6.361213,5.729404424915598,3.1131234,30.75835840710204,30.75835840710204
2022-09-01 02:30:00,3.005,30.75835840710204,5.863046452589201,34.37531370521882,201.54406107602415,2,9,0,5.833929459666861,5.9889383478947025,5.863046452589201,6.039436530208094,6.810774,5.686656374970309,2.8235614,27.75335840710204,27.75335840710204
2022-09-01 02:45:00,7.1075,30.75835840710204,5.844600046846274,34.15934970759547,199.64773690125074,2,9,0,5.863046452589201,5.879062948192009,5.844600046846274,5.969341614289051,6.407562,5.719858479403498,3.42186,23.650858407102042,23.650858407102042
2022-09-01 03:00:00,13.1772,27.347688449241772,5.585044677404607,31.19272404860553,174.212757421415,3,9,0,5.844600046846274,5.800670751079162,5.585044677404607,5.7396530946898485,6.794918,5.430436260119366,5.209978,14.170488449241773,14.170488449241773
2022-09-01 03:15:00,19.9807,26.860518773970917,5.689710899155321,32.37281011596685,184.1919305531022,3,9,0,5.585044677404607,5.832983579851831,5.689710899155321,5.722529426632956,6.9329853,5.656892371677686,5.5354395,6.879818773970918,6.879818773970918
2022-09-01 03:30:00,19.4152,28.470894099536853,5.7180587351147025,32.69619569822155,186.9587674172355,3,9,0,5.689710899155321,5.956239681493286,5.7180587351147025,5.669558178770806,6.103235,5.766559291458599,5.9171724,9.055694099536854,9.055694099536854
2022-09-01 03:45:00,15.0328,27.347688449241772,5.690278103221544,32.379264892002574,184.24702201337237,3,9,0,5.7180587351147025,5.949862681194224,5.690278103221544,5.74706710574248,5.694634,5.633489100700609,6.2863197,12.314888449241773,12.314888449241773
2022-09-01 04:00:00,12.1798,26.860518773970917,5.597968143365945,31.337247334139963,175.42491227729488,4,9,0,5.690278103221544,5.933983828963674,5.597968143365945,5.538099400578247,6.059724,5.6578368861536426,6.473274,14.680718773970916,14.680718773970916
2022-09-01 04:15:00,12.1798,26.860518773970917,5.547098713015517,30.770304131938403,170.68591444937155,4,9,0,5.597968143365945,5.933983828963674,5.547098713015517,5.587827958917792,5.9995666,5.506369467113241,6.5019603,14.680718773970916,14.680718773970916
2022-09-01 04:30:00,19.2384,25.75547794491554,5.524216718880292,30.51697035715654,168.58235785657845,4,9,0,5.547098713015517,5.949620503930991,5.524216718880292,5.542063970647344,5.8185153,5.506369467113241,6.464582,6.517077944915542,6.517077944915542
2022-09-01 04:45:00,19.5708,26.860518773970917,5.610609478010604,31.47893871474242,176.61603191064876,4,9,0,5.524216718880292,6.01884611106931,5.610609478010604,5.561901922773033,6.090942,5.659317033248175,6.3561482,7.289718773970918,7.289718773970918
2022-09-01 05:00:00,17.414,26.860518773970917,5.622440979247996,31.611842565127162,177.73571906770704,5,9,0,5.610609478010604,6.076255962382094,5.622440979247996,5.6099127107008515,6.4250426,5.634969247795141,6.1822214,9.446518773970915,9.446518773970915
2022-09-01 05:15:00,10.1339,26.860518773970917,5.601716105043613,31.37922332150498,175.77750064383457,5,9,0,5.622440979247996,6.203668480336095,5.601716105043613,5.62831015423221,6.6185207,5.575122055855016,5.9846253,16.726618773970916,16.726618773970916
2022-09-01 05:30:00,9.7431,26.860518773970917,5.665423222970994,32.097020295379046,181.84320416961177,5,9,0,5.601716105043613,6.168292652051534,5.665423222970994,5.755724390086972,6.7893896,5.575122055855016,5.8906846,17.11741877397092,17.11741877397092
2022-09-01 05:45:00,9.7154,28.470894099536853,5.717120647179602,32.68546849440731,186.86676679211442,5,9,0,5.665423222970994,6.359841352501901,5.717120647179602,5.859119238504188,7.124924,5.575122055855016,5.874453,18.755494099536854,18.755494099536854
