datetime,actual_power,predicted_power,wind,wind_2,wind_3,hour,month,is_daytime,wind_lag_1h,wind_lag_24h,corrected_average_wind_speed,original_average_wind_speed,original_gfs_wind_speed_70m,original_ec_wind_speed_70m,error,abs_error
2022-08-16 03:15:00,6.6216,18.652817218094384,4.816031829000698,23.194162577947807,111.70382522241353,3,8,0,4.816031829000698,6.388556403241788,4.816031829000698,2.15059005,2.6168482,1.6843319,12.031217218094383,12.031217218094383
2022-08-16 03:30:00,5.6498,18.652817218094384,4.816031829000698,23.194162577947807,111.70382522241353,3,8,0,4.816031829000698,6.388556403241788,4.816031829000698,2.1471144,2.4380803,1.8561485,13.003017218094385,13.003017218094385
2022-08-16 03:45:00,4.0706,18.652817218094384,4.816031829000698,23.194162577947807,111.70382522241353,3,8,0,4.816031829000698,6.388556403241788,4.816031829000698,2.0880655,2.142088,2.034043,14.582217218094385,14.582217218094385
2022-08-16 04:00:00,4.0706,18.652817218094384,4.761465408253214,22.671552833991942,107.94981457043775,4,8,0,4.816031829000698,6.518664392234463,4.761465408253214,2.08566985,1.8351167,2.336223,14.582217218094385,14.582217218094385
2022-08-16 04:15:00,3.4739,16.66100698132221,4.725128284102921,22.326837301229418,105.49717042660326,4,8,0,4.761465408253214,6.503481875769963,4.725128284102921,2.14468205,1.5714438,2.7179203,13.18710698132221,13.18710698132221
2022-08-16 04:30:00,3.2295,16.074425478332543,4.725128284102921,22.326837301229418,105.49717042660326,4,8,0,4.725128284102921,6.739086770518511,4.725128284102921,2.2178594,1.330595,3.1051238,12.844925478332543,12.844925478332543
2022-08-16 04:45:00,3.3779,16.074425478332543,4.714946004959704,22.230715829685472,104.81662478856998,4,8,0,4.725128284102921,6.608978781525836,4.714946004959704,2.29848645,1.1707592,3.4262137,12.696525478332543,12.696525478332543
2022-08-16 05:00:00,3.3779,16.074425478332543,4.714946004959704,22.230715829685472,104.81662478856998,5,8,0,4.714946004959704,6.533255495712128,4.714946004959704,2.39408685,1.0840467,3.704127,12.696525478332543,12.696525478332543
2022-08-16 05:15:00,1.6524,16.074425478332543,4.714946004959704,22.230715829685472,104.81662478856998,5,8,0,4.714946004959704,6.439255996232841,4.714946004959704,2.44154305,1.0906893,3.7923968,14.422025478332543,14.422025478332543
2022-08-16 05:30:00,0.0,16.074425478332543,4.714946004959704,22.230715829685472,104.81662478856998,5,8,0,4.714946004959704,6.3107762615832765,4.714946004959704,2.42318745,1.2292542,3.6171207,16.074425478332543,16.074425478332543
2022-08-16 05:45:00,0.0,16.074425478332543,4.653042651900293,21.65080592040331,100.74212339565199,5,8,0,4.714946004959704,6.172185503087627,4.653042651900293,2.39182115,1.3714757,3.4121666,16.074425478332543,16.074425478332543
2022-08-16 06:00:00,0.0,16.074425478332543,4.5998823175502,21.158917335311003,97.32852970920348,6,8,1,4.653042651900293,6.077313084762281,4.5998823175502,2.3647392,1.3973842,3.3320942,16.074425478332543,16.074425478332543
2022-08-16 06:15:00,0.0,16.074425478332543,4.5998823175502,21.158917335311003,97.32852970920348,6,8,1,4.5998823175502,6.077313084762281,4.5998823175502,2.2528919,1.2259722,3.2798116,16.074425478332543,16.074425478332543
