datetime,power,ec_wind_speed_10m,ec_wind_speed_70m
2021-05-04 05:30:00,93.5115,6.776133,12.345805
2021-05-04 05:45:00,91.7915,6.547488,12.147349
2021-05-04 06:00:00,90.0045,6.5292807,12.489607
2021-05-04 06:15:00,88.1532,6.5480967,12.776174
2021-05-04 06:30:00,86.3465,6.7812963,13.139469
2021-05-04 06:45:00,84.6104,7.0897694,13.300238
2021-05-04 07:00:00,82.9439,7.4733353,13.184917
2021-05-04 07:15:00,81.3716,7.882463,12.824804
2021-05-04 07:30:00,79.8661,8.504243,12.27667
2021-05-04 07:45:00,78.4765,8.901104,11.824459
2021-05-04 08:00:00,77.225,8.486273,10.790751
2021-05-04 08:15:00,76.0837,8.489381,10.138403
2021-05-04 08:30:00,75.0258,8.624972,10.234501
2021-05-04 08:45:00,74.0494,8.883308,10.581888
2021-05-04 09:00:00,73.1771,9.178425,10.855276
2021-05-04 09:15:00,72.359,9.24625,10.820526
2021-05-04 09:30:00,71.5703,9.240735,10.747721
2021-05-04 09:45:00,70.8105,9.247444,10.712895
2021-05-04 10:00:00,69.9852,9.088496,10.484373
2021-05-04 10:15:00,69.1426,8.871291,10.208507
2021-05-04 10:30:00,68.0523,8.734016,10.015931
2021-05-04 10:45:00,66.7219,8.508684,9.722901
2021-05-04 11:00:00,65.0938,8.345652,9.500917
2021-05-04 11:15:00,63.1398,8.255132,9.366029
2021-05-04 11:30:00,60.8387,8.187558,9.256022
2021-05-04 11:45:00,58.2204,8.0362625,9.041674
2021-05-04 12:00:00,55.2999,7.7953644,8.745818
2021-05-04 12:15:00,52.0813,7.5147305,8.405279
2021-05-04 12:30:00,48.9103,7.1278477,7.9343877
2021-05-04 12:45:00,45.7812,6.6222415,7.3259587
2021-05-04 13:00:00,42.7409,6.1327863,6.774204
2021-05-04 13:15:00,39.7653,5.704554,6.2842326
2021-05-04 13:30:00,36.8665,5.365562,5.8435225
2021-05-04 13:45:00,34.0548,4.8216786,5.139132
2021-05-04 14:00:00,31.3394,4.0815663,4.290328
2021-05-04 14:15:00,28.74,3.400031,3.5343719
2021-05-04 14:30:00,26.271,2.8441885,2.9089282
2021-05-04 14:45:00,23.9109,2.5015469,2.5183303
2021-05-04 15:00:00,21.7008,2.23132,2.2206254
2021-05-04 15:15:00,19.624,2.061628,2.0586581
2021-05-04 15:30:00,17.8157,2.138591,2.162431
2021-05-04 15:45:00,16.2398,2.376712,2.445201
2021-05-04 16:00:00,14.9028,2.7081525,2.8444397
2021-05-04 16:15:00,13.7808,2.8687108,3.0625908
2021-05-04 16:30:00,12.781,3.498764,3.771467
2021-05-04 16:45:00,11.9037,4.5789595,4.9324236
2021-05-04 17:00:00,11.1428,4.4027762,4.91162
2021-05-04 17:15:00,10.4756,3.723336,4.2804637
2021-05-04 17:30:00,9.9465,3.2029135,3.642156
2021-05-04 17:45:00,9.5336,2.6076014,2.9417462
2021-05-04 18:00:00,9.2243,2.2114062,2.4515357
2021-05-04 18:15:00,9.0026,1.9073638,2.150728
2021-05-04 18:30:00,8.8599,2.033364,2.7310488
2021-05-04 18:45:00,8.7944,3.7829254,4.7214437
2021-05-04 19:00:00,8.789,4.7093234,5.5569067
2021-05-04 19:15:00,8.8326,4.4700313,5.4672656
2021-05-04 19:30:00,8.8818,3.1963434,5.0989556
2021-05-04 19:45:00,8.9256,3.1484184,4.8657365
2021-05-04 20:00:00,8.9586,3.2315056,4.6855245
2021-05-04 20:15:00,8.9641,2.9645324,4.1581106
2021-05-04 20:30:00,8.9421,2.5583713,3.6325777
2021-05-04 20:45:00,8.8927,2.4533975,3.4557955
2021-05-04 21:00:00,8.8108,2.7828255,3.6289241
2021-05-04 21:15:00,8.7075,2.564105,3.184296
2021-05-04 21:30:00,8.6588,2.0066988,2.575022
2021-05-04 21:45:00,8.6913,1.5959396,2.0814843
2021-05-04 22:00:00,8.8162,1.0382669,1.1609902
2021-05-04 22:15:00,9.0633,3.594792,2.6432393
2021-05-04 22:30:00,9.4826,5.7336545,6.3006473
2021-05-04 22:45:00,10.1037,5.560445,6.327729
2021-05-04 23:00:00,10.9647,5.951743,7.088611
2021-05-04 23:15:00,12.1228,5.9578795,7.5484157
2021-05-04 23:30:00,13.6272,5.851597,7.1798697
2021-05-04 23:45:00,15.5388,5.8143215,7.016353
2021-05-05 00:00:00,16.0218,5.02997,6.1419864
2021-05-05 00:15:00,17.5252,5.2766724,6.4654675
2021-05-05 00:30:00,19.3742,5.506728,6.761261
2021-05-05 00:45:00,21.6139,5.6049933,6.8634176
2021-05-05 01:00:00,24.2886,5.65571,6.891109
2021-05-05 01:15:00,27.4717,5.730164,7.111189
2021-05-05 01:30:00,31.0302,5.8777075,7.495778
2021-05-05 01:45:00,34.9629,6.0270214,7.9941797
2021-05-05 02:00:00,39.283,6.110797,8.359439
2021-05-05 02:15:00,43.9783,6.2126374,8.534444
2021-05-05 02:30:00,49.002,6.3113017,8.678207
2021-05-05 02:45:00,54.3236,6.330777,9.085384
2021-05-05 03:00:00,59.9005,6.3741612,9.606789
2021-05-05 03:15:00,65.769,6.857358,10.854487
2021-05-05 03:30:00,71.5703,6.984765,10.781438
2021-05-05 03:45:00,77.2749,6.639432,10.661785
2021-05-05 04:00:00,82.7886,6.4484563,10.630116
2021-05-05 04:15:00,88.0197,6.5809846,11.141175
2021-05-05 04:30:00,92.527,6.6769686,11.558899
2021-05-05 04:45:00,96.2407,6.863822,12.004389
2021-05-05 05:00:00,99.1679,7.143783,12.437774
2021-05-05 05:15:00,101.3056,7.3075285,12.374848
2021-05-05 05:30:00,102.6916,7.23744,12.589044
2021-05-05 05:45:00,103.4009,7.8564715,13.030022
2021-05-05 06:00:00,103.5146,7.692939,12.631834
2021-05-05 06:15:00,103.0603,7.5718966,12.321853
2021-05-05 06:30:00,102.465,7.526841,12.0223255
2021-05-05 06:45:00,101.7858,7.459894,11.719975
2021-05-05 07:00:00,100.9953,7.590274,11.420192
2021-05-05 07:15:00,100.0943,7.7620683,11.05418
2021-05-05 07:30:00,99.4203,7.9541574,10.7785015
2021-05-05 07:45:00,99.0558,7.7412643,10.3758545
2021-05-05 08:00:00,98.9998,7.186665,9.692887
2021-05-05 08:15:00,99.3081,6.85577,8.740431
2021-05-05 08:30:00,100.0662,6.478391,7.981559
2021-05-05 08:45:00,101.2492,6.236062,7.495414
2021-05-05 09:00:00,102.9468,5.963114,7.129067
2021-05-05 09:15:00,105.1374,5.7390137,6.807553
2021-05-05 09:30:00,108.2871,5.849712,6.8719697
2021-05-05 09:45:00,112.4097,6.106898,7.169457
2021-05-05 10:00:00,117.5103,6.3878036,7.529645
2021-05-05 10:15:00,123.5724,6.837263,8.052401
2021-05-05 10:30:00,129.9959,7.2999554,8.55029
2021-05-05 10:45:00,136.7004,7.595075,8.868119
2021-05-05 11:00:00,143.5938,7.748973,9.040725
2021-05-05 11:15:00,150.5009,7.9083276,9.237991
2021-05-05 11:30:00,156.9532,8.177015,9.583497
2021-05-05 11:45:00,162.7192,8.601168,10.090474
2021-05-05 12:00:00,167.4893,8.940537,10.517993
2021-05-05 12:15:00,172.553,9.333285,11.015581
2021-05-05 12:30:00,177.3176,9.764857,11.555854
2021-05-05 12:45:00,180.6306,10.180578,12.077041
2021-05-05 13:00:00,182.8661,10.615159,12.617748
2021-05-05 13:15:00,184.3276,11.033666,13.13493
2021-05-05 13:30:00,185.2018,11.403121,13.581575
2021-05-05 13:45:00,185.7073,11.605424,13.820556
2021-05-05 14:00:00,185.9872,11.790149,14.053216
2021-05-05 14:15:00,186.1345,11.952843,14.262277
2021-05-05 14:30:00,186.2044,12.091954,14.440021
2021-05-05 14:45:00,186.2341,12.21405,14.606034
2021-05-05 15:00:00,186.2435,12.364029,14.79731
2021-05-05 15:15:00,186.239,12.459162,14.930228
2021-05-05 15:30:00,186.2152,12.591028,15.117871
2021-05-05 15:45:00,186.1529,12.731071,15.319695
2021-05-05 16:00:00,186.0171,12.800792,15.427143
2021-05-05 16:15:00,185.7457,12.861501,15.524034
2021-05-05 16:30:00,185.2973,13.031275,15.759151
2021-05-05 16:45:00,184.5925,13.158251,15.932483
2021-05-05 17:00:00,183.5227,13.082077,15.84825
2021-05-05 17:15:00,181.9407,12.905394,15.646617
2021-05-05 17:30:00,179.6111,12.736055,15.462207
2021-05-05 17:45:00,176.2481,12.620962,15.35213
2021-05-05 18:00:00,171.4129,12.517792,15.265614
2021-05-05 18:15:00,166.8206,12.249478,14.980741
2021-05-05 18:30:00,161.8469,11.922834,14.734835
2021-05-05 18:45:00,155.705,11.790323,14.712075
2021-05-05 19:00:00,148.5596,11.558957,14.486126
2021-05-05 19:15:00,140.6217,10.250275,13.537276
2021-05-05 19:30:00,132.3339,9.82838,13.149056
2021-05-05 19:45:00,123.9198,8.8119,12.60425
2021-05-05 20:00:00,115.5665,7.499376,11.8535
2021-05-05 20:15:00,107.3973,6.305903,11.374324
2021-05-05 20:30:00,99.5325,5.9684463,11.805565
2021-05-05 20:45:00,92.0636,6.461556,12.831512
2021-05-05 21:00:00,84.9772,6.707854,12.826019
2021-05-05 21:15:00,78.376,6.031633,12.169889
2021-05-05 21:30:00,72.3111,4.990312,10.04724
2021-05-05 21:45:00,66.8131,5.448822,8.930973
2021-05-05 22:00:00,61.7868,5.94622,8.829782
2021-05-05 22:15:00,57.2282,6.226466,9.125787
2021-05-05 22:30:00,52.8923,6.2289147,9.009044
2021-05-05 22:45:00,48.8004,6.044311,8.467138
2021-05-05 23:00:00,44.933,5.902586,8.193488
2021-05-05 23:15:00,41.2724,5.677187,7.9179163
2021-05-05 23:30:00,37.8035,5.603828,7.8075495
2021-05-05 23:45:00,34.5135,5.4807,7.586442
2021-05-06 00:00:00,28.1654,5.8043933,9.973201
2021-05-06 00:15:00,25.8247,6.3922276,10.160798
2021-05-06 00:30:00,23.6513,6.249334,8.533185
